userName,score,at,content,Day,Month,Year,Hour,Minute,Sec
Setiawan Rezz,5,2024-09-19 06:02:48,Ok,19,9,2024,6,2,48
Zery 08,1,2024-09-19 01:56:53,Transaksi gagal karena pembayaran tidak diverifikasi Minta pengembalian dana aja ribet ditunggu 1x24jam Sudah 1 hari lewat malah diminta 3x24 jam Aneh Jgn pake aplikasi ini ribet,19,9,2024,1,56,53
Nugy Rizwand,5,2024-09-19 00:24:49,"Sangat membantu, CS nya pun sangat ramah...",19,9,2024,0,24,49
SURYA SARI ENTERPRISE (SURYA SARI ENTERPRISE),5,2024-09-18 15:07:00,"Cuk!!! Belanja gak sampai 200rb, Limit Bukalapak PayLeter TIDAK BISA Digunakan!!!! Aplikasi Sampah!!!!",18,9,2024,15,7,0
Indri Maulidyah,1,2024-09-18 12:20:24,"Ini aplikasi yang mengambil uang saya di dana, tolong kembalikan uang saya 850k",18,9,2024,12,20,24
ipan koswara,5,2024-09-18 12:09:28,"Terus memperbaiki & terus memberikan pelayanan yg terbaik pada costumers nya,supaya nyaman,aman bagi pelanggan nya & terimakasih team buka lapak🙏,haya satu kekurangan nya ga ada cs nya pake no wa,lebih praktis🙏",18,9,2024,12,9,28
JOYO MULYO,1,2024-09-18 07:34:59,"Pernah belanja di bukalapak 2018, pembelian sepatu sampai sekarang barang belum datang. Dan mau saya login lagi aplikasi buka lapak susahnya minta ampun, pasword sudah di reset tapi tetepsaja tidak bisa login.",18,9,2024,7,34,59
Justin Tembelex,1,2024-09-18 03:03:50,Bukalapak tidak bisa login help me...,18,9,2024,3,3,50
Irvan Teguh Darmawan,1,2024-09-17 23:16:11,Tidak bisa verifikasi data nih mau upload foto untuk ganti nomor selalu gagal aneh sekali.,17,9,2024,23,16,11
Ravelia Adel,5,2024-09-17 18:21:53,Oke mantap,17,9,2024,18,21,53
arie dumang,5,2024-09-17 17:14:55,Saya sedikit kecewa sama Bukalapak pay later dari kredivo sudah ga bisa di gunakan percuma ada bacaan paylater 500rbu tapi ga bisa di gunakan sama sekali sudah 3 bulan ga bisa .tapi aku kasih bintang lima deh ga apa apa.tolong paylater belanja nyaa ada cicilan 12 bulan.kaya aplikasi sebelahh,17,9,2024,17,14,55
Sugito,5,2024-09-17 16:35:42,Mantab Betul,17,9,2024,16,35,42
bagus Bowo,1,2024-09-17 16:10:39,Sangat di sayangkan pembelian yang gagal dan Kapan saldo dana yang ke refud/gagal pas pembilan bisa di pindah ke saldo dana ..padahal dulu bisa saldo mitra di pindah ke saldo dana .tapi skrng susah mohon. Di perbaiki.i.. Terimakasih,17,9,2024,16,10,39
AL,1,2024-09-17 15:58:51,"Pernah jual beli hape lewat buka lapak, dulu pesaing tokopedia dan lazada. Sekarang beralih jualan aksesoris fashion, di sini trafik sangat sepi. Keruntuhan bukalapak sejak blunder dari ceo nya. Lalu arah tujuan ecommerce jadi tidak jelas. Padahal jika biaya admin, iklan dan promo dimurahin, yang penting bisa dapet trafik dan nguasain pasar enak. Tapi, ya... begitulah... Tinggal menunggu waktu aja",17,9,2024,15,58,51
Agus Suhendar,1,2024-09-17 14:24:18,"Aplikasi ini tida aman,2x dana saya dibobol sama bukalapak.👎👎👎👎banyak maling nyusup di aplikasi ini",17,9,2024,14,24,18
Eko Susanto,5,2024-09-17 12:49:12,yang dapat serbu seru foto profilnya kok sama ya cuma nama akun yang beda apa sebuah kebetulan aja pakai foto profil yang sama hmmmmm kapan yang lain bisa ikut dapat.😄😄😄,17,9,2024,12,49,12
Phyterzen Hamka,1,2024-09-17 05:40:08,"Tinggal nunggu colab Voucher pembeli susah ongkir gak bersaing. Sebagai seller admin fee nya kelewatan melebihi untung kita sebagai penjual Saya untung 50 RB admin fee nya 180rb dari transaksi 3jt, Saya berhenti menjadi seller dan buyer.",17,9,2024,5,40,8
Maul Cell,4,2024-09-16 23:24:19,Baguss,16,9,2024,23,24,19
Nur Pajri,1,2024-09-16 18:40:27,Saldo dana saya di sedot.oleh apk bukalapak. Padahal ga ada transaksi. Mohon itikad baik nya . Ini gmn refund nya . Saya butuh dana itu,16,9,2024,18,40,27
Muhammad Dimyati,1,2024-09-16 17:17:54,"Tolonglah Saldo Mitra digabungkan lagi sama Saldo Bukalapak, kalo ada masalah uang nyangkut atau pengembalian Dana biar bisa di ambil/di kirim ke DANA. Masa kalo pengembalian Dana saldo nyangkut di Mitra 🤦🏻🤦🏻",16,9,2024,17,17,54
sopyan hadi,4,2024-09-16 15:27:10,Ga ada voucher,16,9,2024,15,27,10
Suriati 1984,5,2024-09-16 15:20:30,Senang menggunakan aplikasi ini bisa bebas pilih jasa pengiriman dan pengalaman berbelanja menyenangkan,16,9,2024,15,20,30
Dina Nurvita,1,2024-09-16 12:58:16,Ini buka lapak apa2 maksudnya ngambil saldo dana saya hah padahal saya tidak pernah daftar saldo yang terambil lumayan loh 400rebu,16,9,2024,12,58,16
Aan Anwar,3,2024-09-16 11:05:24,semoga semakin di depan,16,9,2024,11,5,24
Baya agus priant,1,2024-09-16 10:35:02,"Dulu cetak resi tinggal klik keluar bentuk nya,mau diprint gampang,sekarang nggak bisa jadinya ditulis manual",16,9,2024,10,35,2
Zaini Aceh,5,2024-09-16 03:11:18,Bukalapak paling ok,16,9,2024,3,11,18
ayat meini,5,2024-09-15 17:13:46,super cepat,15,9,2024,17,13,46
Putri Cantika,2,2024-09-15 15:55:10,"Wah Beneran Parah Dii BukaLapak, Di Pemberitahuan Email Sudah Terdaftar Jadi Pelapak Tapi Tidak Bisa Upload Produk, Buat Apa Kalau Diterima Jadi Pelapak Kalau Tidak Bisa Upload Produk. Sia² Daftar Kalau Begini Pakai Data Pribadi, Kalau Tau Seperti Ini Mending Tidak Usah Daftar. Chat Seller Ya Juga Paling Susah",15,9,2024,15,55,10
Sitti Aminah,1,2024-09-15 14:26:35,Saya mau mengajukan komplain. Jangan ada yang daftar di bukalapak. Karna akun kita secara otomatis banyak yang di retas oleh pihak bukalapak. Data data kita masih tersimpan dengan gampang di retas dan disalahgunakan,15,9,2024,14,26,35
Gembala Ternak,1,2024-09-15 13:11:24,Saya dulu penggemar belanja barang di bukalapak. Tapi sayang sekarang aplikasi ini tidak bisa bersaing dengan aplikasi belanja yg lain. Itu semua karna ongkir mahal dan tidak ada diskon yang besar.,15,9,2024,13,11,24
Pengguna Google,5,2024-09-15 12:36:34,"Bukalapak tidak usah malu meniru aplikasi shopee atau Tokopedia yg lebih muda dari pada saat ini Bukalapak begitu bertele2 dalam dalam meng upload barang jualan terutama yg berurusan dengan varian,",15,9,2024,12,36,34
zacky hosny,2,2024-09-15 06:44:47,Tidak ada buka bantuan live chat kami tiap upload produk hanya muncul kategori Vape padahal gak jualan Vape jadi tidak bisa pake kategori lain mohon dibantu jangan didiamkan aja,15,9,2024,6,44,47
Kageyama Assegaf,1,2024-09-15 05:06:53,"Makin sini makin gak seneng sma BL, akun tiba2 di non aktif alasan keamanan yg gak jelas, sudah lama belanja di sini mrasa dirugikan gegara akun hilang, balikin akun malah persyaratannya ribet.",15,9,2024,5,6,53
Dok Ariz,1,2024-09-15 04:15:16,NOTIF SPAAMMMMMMM!!!! GANGGU ORANGG AJA,15,9,2024,4,15,16
Masa Depanku,1,2024-09-14 23:59:50,"saran aja buat kalian tim pengembang bukalapak, klaim voucher gausah pake copy paste, langsung aja bisa claim terus bisa dipakai inilah yg bikin males pengguna harus bolak balik liat voucher krna bisanya copy paste",14,9,2024,23,59,50
Ato Surya,1,2024-09-14 21:11:40,"BUKALAPAK SANGAT MENGECEWAKAN, ADA TRANSAKSI YANG TIDAK JELAS DAN TIDAK SAYA KETAHUI, TAPI LANGSUNG POTONG SALDO. SAAT DIKONFIRMASI, PIHAK BUKALAPAK SANGAT BERTELE-TELE DAN TIDAK BERTANGGUNGJAWAB, DENGAN ALASAN UANG SUDAH TIDAK ADA DI BUKALAPAK. SETAHU SAYA, PEMBAYARAN KE MERCHANT TIDAK LANGSUNG PADA HARI YANG SAMA. TRANSAKSI ILLEGAL TERJADI JAM 7 PAGI, SAYA KOMPLAIN JAM 10 PAGI PADA HARI YANG SAMA. BUKALAPAK MELINDUNGI MERCHANT PENIPU DAN TIDAK JELAS. MENGECEWAKAN.",14,9,2024,21,11,40
Umar ali Umar,2,2024-09-14 17:46:18,2bintag,14,9,2024,17,46,18
